"cooperativa";"estado"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
"Consumidor";"São Paulo"
